ActivityID,StationID,Date_Tt,TP_mgL,PO4_mgL,NOx_mgL,TKN_mgL,NO3_mgL,NO2_mgL,TN_mgL,Bug_StationID,Type,Avg_NH_IBI_Score,Latitude,Longitude
WQAL-83712,LMP07,8/14/2007,,,,,0.041,,,,,,43.162756,-71.233449
WQAL-65262,LMP07,12/12/2006,,,,,0.059,,,,,,43.162756,-71.233449
WQAL-42297,LMP07,3/30/2004,,,,,0.055,,,,,,43.162756,-71.233449
WQAL-49956,LMP07,4/19/2005,,0.005,,,0.037,,,,,,43.162756,-71.233449
WQAL-83733,LMP07,8/14/2007,,,,,0.047,,,,,,43.162756,-71.233449
WQAL-43333,LMP07,6/8/2004,,,,,0.045,,,,,,43.162756,-71.233449
WQAL-57362,LMP07,2/14/2006,,,,,0.073,,,,,,43.162756,-71.233449
WQAL-39499,LMP07,9/12/2003,,0.003,,,0.021,,,,,,43.162756,-71.233449
WQAL-47073,LMP07,10/19/2004,,,,,0.049,,,,,,43.162756,-71.233449
WQAL-44446,LMP07,7/27/2004,,,,,0.068,,,,,,43.162756,-71.233449
WQAL-45658,LMP07,9/14/2004,,,,,0.037,,,,,,43.162756,-71.233449
WQAL-82378,LMP07,7/28/2008,0.352,,,,,,,,,,43.162756,-71.233449
WQAL-104104,LMP07,11/8/2011,,,,,0.005,,,,,,43.162756,-71.233449
WQAL-101423,LMP07,8/9/2011,,,,,0.059,,,,,,43.162756,-71.233449
WQAL-41817,LMP19,3/2/2004,,0.004,,,0.203,,,,,,43.088276,-71.234687
WQAL-59168,LMP19,4/11/2006,,,,,0.072,,,,,,43.088276,-71.234687
WQAL-47219,LMP19,11/2/2004,,,,,0.086,,,,,,43.088276,-71.234687
WQAL-69508,LMP19,7/10/2007,,,,,0.147,,,,,,43.088276,-71.234687
WQAL-48074,LMP19,1/11/2005,,,,,0.121,,,,,,43.088276,-71.234687
WQAL-46836,LMP19,10/12/2004,,,,,0.133,,,,,,43.088276,-71.234687
WQAL-45568,LMP19,9/7/2004,,,,,0.185,,,,,,43.088276,-71.234687
WQAL-28258,LMP19,9/11/2000,,0.007,,,0.14,,,,,,43.088276,-71.234687
WQAL-42325,LMP19,4/6/2004,,,,,0.116,,,,,,43.088276,-71.234687
WQAL-41479,LMP19,2/10/2004,,0.005,,,0.183,,,,,,43.088276,-71.234687
WQAL-71109,LMP19,8/14/2007,,,,,0.135,,,,,,43.088276,-71.234687
WQAL-73836,LMP19,11/12/2007,,,,,0.13,,,,,,43.088276,-71.234687
WQAL-67866,LMP19,4/18/2007,,,,,0.105,,,,,,43.088276,-71.234687
WQAL-94282,LMP19,6/8/2010,,,,,0.043,,,,,,43.088276,-71.234687
WQAL-97537,LMP19,12/14/2010,,,,,0.061,,,,,,43.088276,-71.234687
WQAL-60246,LMP19,5/16/2006,,0.003,,,0.042,,,,,,43.088276,-71.234687
WQAL-28225,LMP19,7/7/2000,,0.004,,,0.148,,,,,,43.088276,-71.234687
WQAL-68695,LMP19,6/12/2007,,,,,0.111,,,,,,43.088276,-71.234687
WQAL-95366,LMP19,8/10/2010,,,,,0.022,,,,,,43.088276,-71.234687
WQAL-87127,LMP19,4/14/2009,,,,,0.131,,,,,,43.088276,-71.234687
WQAL-87991,LMP19,5/12/2009,,,,,0.085,,,,,,43.088276,-71.234687
WQAL-53588,LMP19,9/14/2005,,,,,0.194,,,,,,43.088276,-71.234687
WQAL-74229,LMP19,12/11/2007,,,,,0.262,,,,,,43.088276,-71.234687
WQAL-71124,LMP19,8/14/2007,,,,,0.141,,,,,,43.088276,-71.234687
WQAL-107670,LMP19,4/10/2012,,,,,0.053,,,,,,43.088276,-71.234687
WQAL-42101,LMP19,3/16/2004,,,,,0.15,,,,,,43.088276,-71.234687
WQAL-72420,LMP19,9/4/2007,,,,,0.17,,,,,,43.088276,-71.234687
WQAL-49476,LMP19,3/29/2005,,0.005,,,0.078,,,,,,43.088276,-71.234687
WQAL-81406,LMP19,9/9/2008,,,,,0.029,,,,,,43.088276,-71.234687
WQAL-82923,LMP19,11/12/2008,,0.003,,,0.062,,,,,,43.088276,-71.234687
WQAL-42312,LMP19,4/3/2004,,0.006,,,0.109,,,,,,43.088276,-71.234687
WQAL-74787,LMP19,1/8/2008,,,,,0.135,,,,,,43.088276,-71.234687
WQAL-47337,LMP19,11/16/2004,,,,,0.123,,,,,,43.088276,-71.234687
WQAL-104591,LMP19,12/13/2011,,,,,0.07,,,,,,43.088276,-71.234687
WQAL-43556,LMP19,6/29/2004,,,,,0.139,,,,,,43.088276,-71.234687
WQAL-89100,LMP19,7/14/2009,,,,,0.098,,,,,,43.088276,-71.234687
WQAL-43404,LMP19,6/15/2004,,0.006,,,0.13,,,,,,43.088276,-71.234687
WQAL-100748,LMP19,7/12/2011,,,,,0.125,,,,,,43.088276,-71.234687
WQAL-67454,LMP19,4/10/2007,,,,,0.112,,,,,,43.088276,-71.234687
WQAL-52172,LMP19,7/12/2005,,,,,0.084,,,,,,43.088276,-71.234687
WQAL-44344,LMP19,7/20/2004,,,,,0.14,,,,,,43.088276,-71.234687
WQAL-70400,LMP19,7/31/2007,,,,,0.147,,,,,,43.088276,-71.234687
WQAL-76971,LMP19,5/13/2008,,,,,0.053,,,,,,43.088276,-71.234687
WQAL-48379,LMP19,2/1/2005,,0.003,,,0.132,,,,,,43.088276,-71.234687
WQAL-97047,LMP19,11/9/2010,,,,,0.039,,,,,,43.088276,-71.234687
WQAL-41963,LMP19,3/9/2004,,0.004,,,0.157,,,,,,43.088276,-71.234687
WQAL-85808,LMP19,3/10/2009,,,,,0.151,,,,,,43.088276,-71.234687
WQAL-44671,LMP19,8/10/2004,,,,,0.201,,,,,,43.088276,-71.234687
WQAL-67980,LMP19,5/8/2007,,,,,0.072,,,,,,43.088276,-71.234687
WQAL-41283,LMP19,1/13/2004,,,,,0.142,,,,,,43.088276,-71.234687
WQAL-47071,LMP19,10/19/2004,,,,,0.033,,,,,,43.088276,-71.234687
WQAL-43657,LMP19,7/6/2004,,,,,0.191,,,,,,43.088276,-71.234687
WQAL-44444,LMP19,7/27/2004,,,,,0.169,,,,,,43.088276,-71.234687
WQAL-99694,LMP19,5/10/2011,,,,,0.015,,,,,,43.088276,-71.234687
WQAL-28243,LMP19,8/8/2000,,0.006,,,0.084,,,,,,43.088276,-71.234687
WQAL-98937,LMP19,4/12/2011,,,,,0.028,,,,,,43.088276,-71.234687
WQAL-42939,LMP19,5/4/2004,,0.007,,,0.032,,,,,,43.088276,-71.234687
WQAL-41504,LMP19,2/17/2004,,,,,0.244,,,,,,43.088276,-71.234687
WQAL-49954,LMP19,4/19/2005,,,,,0.083,,,,,,43.088276,-71.234687
WQAL-47880,LMP19,12/14/2004,,,,,0.06,,,,,,43.088276,-71.234687
WQAL-44049,LMP19,7/13/2004,,,,,0.134,,,,,,43.088276,-71.234687
WQAL-64352,LMP19,11/14/2006,,,,,0.011,,,,,,43.088276,-71.234687
WQAL-83931,LMP19,12/16/2008,,,,,0.077,,,,,,43.088276,-71.234687
WQAL-75546,LMP19,2/12/2008,,0.007,,,0.145,,,,,,43.088276,-71.234687
WQAL-47570,LMP19,11/30/2004,,0.005,,,0.043,,,,,,43.088276,-71.234687
WQAL-54876,LMP19,11/8/2005,,,,,0.063,,,,,,43.088276,-71.234687
WQAL-106693,LMP19,3/13/2012,,,,,0.048,,,,,,43.088276,-71.234687
WQAL-75990,LMP19,3/11/2008,,,,,0.106,,,,,,43.088276,-71.234687
WQAL-45241,LMP19,8/31/2004,,,,,0.11,,,,,,43.088276,-71.234687
WQAL-72379,LMP19,8/27/2007,,,,,0.154,,,,,,43.088276,-71.234687
WQAL-43294,LMP19,6/1/2004,,,,,0.08,,,,,,43.088276,-71.234687
WQAL-72649,LMP19,9/11/2007,,,,,0.165,,,,,,43.088276,-71.234687
WQAL-66813,LMP19,3/13/2007,,,,,0.213,,,,,,43.088276,-71.234687
WQAL-42704,LMP19,4/27/2004,,,,,0.061,,,,,,43.088276,-71.234687
WQAL-41355,LMP19,1/20/2004,,0.011,,,0.162,,,,,,43.088276,-71.234687
WQAL-66265,LMP19,2/13/2007,,,,,0.246,,,,,,43.088276,-71.234687
WQAL-56749,LMP19,1/10/2006,,,,,0.201,,,,,,43.088276,-71.234687
WQAL-51690,LMP19,6/15/2005,,,,,0.065,,,,,,43.088276,-71.234687
WQAL-47280,LMP19,11/9/2004,,0.006,,,0.082,,,,,,43.088276,-71.234687
WQAL-42557,LMP19,4/19/2004,,,,,0.061,,,,,,43.088276,-71.234687
WQAL-71092,LMP19,8/14/2007,,,,,0.143,,,,,,43.088276,-71.234687
WQAL-79863,LMP19,8/12/2008,,,,,0.036,,,,,,43.088276,-71.234687
WQAL-28224,LMP19,7/7/2000,,0.008,,,0.147,,,,,,43.088276,-71.234687
WQAL-92326,LMP19,12/8/2009,,,,,0.203,,,,,,43.088276,-71.234687
WQAL-47114,LMP19,10/26/2004,,,,,0.105,,,,,,43.088276,-71.234687
WQAL-71280,LMP19,8/21/2007,,,,,0.145,,,,,,43.088276,-71.234687
WQAL-45643,LMP19,5/25/2004,,0.003,,,0.021,,,,,,43.088276,-71.234687
WQAL-45790,LMP19,9/21/2004,,,,,0.055,,,,,,43.088276,-71.234687
WQAL-26542,LMP19,3/4/2000,,,,,0.084,,,,,,43.088276,-71.234687
WQAL-112735,LMP19,9/11/2012,,,,,0.074,,,,,,43.088276,-71.234687
WQAL-41416,LMP19,2/3/2004,,0.004,,,0.217,,,,,,43.088276,-71.234687
WQAL-42523,LMP19,4/13/2004,,,,,0.109,,,,,,43.088276,-71.234687
WQAL-104882,LMP19,1/10/2012,,,,,0.095,,,,,,43.088276,-71.234687
WQAL-41391,LMP19,1/27/2004,,0.01,,,0.226,,,,,,43.088276,-71.234687
WQAL-112332,LMP19,8/14/2012,,,,,0.056,,,,,,43.088276,-71.234687
WQAL-92492,LMP19,1/12/2010,,,,,0.133,,,,,,43.088276,-71.234687
WQAL-97707,LMP19,1/11/2011,,,,,0.119,,,,,,43.088276,-71.234687
WQAL-28325,LMP19,1/7/2001,,0.004,,,0.106,,,,,,43.088276,-71.234687
WQAL-43005,LMP19,5/11/2004,,0.003,,,0.045,,,,,,43.088276,-71.234687
WQAL-63589,LMP19,10/10/2006,,,,,0.063,,,,,,43.088276,-71.234687
WQAL-98496,LMP19,3/8/2011,,,,,0.088,,,,,,43.088276,-71.234687
WQAL-84450,LMP19,1/13/2009,,,,,0.098,,,,,,43.088276,-71.234687
WQAL-50618,LMP19,5/10/2005,,0.004,,,0.038,,,,,,43.088276,-71.234687
WQAL-65545,LMP19,1/9/2007,,,,,0.052,,,,,,43.088276,-71.234687
WQAL-60321,LMP19,5/23/2006,,,,,0.04,,,,,,43.088276,-71.234687
WQAL-78273,LMP19,7/8/2008,,,,,0.162,,,,,,43.088276,-71.234687
WQAL-102191,LMP19,9/13/2011,,,,,0.047,,,,,,43.088276,-71.234687
WQAL-104102,LMP19,11/8/2011,,,,,0.051,,,,,,43.088276,-71.234687
WQAL-43484,LMP19,6/22/2004,,,,,0.17,,,,,,43.088276,-71.234687
WQAL-47556,LMP19,11/23/2004,,,,,0.129,,,,,,43.088276,-71.234687
WQAL-57360,LMP19,2/14/2006,,0.005,,,0.153,,,,,,43.088276,-71.234687
WQAL-47926,LMP19,12/28/2004,,,,,0.122,,,,,,43.088276,-71.234687
WQAL-54328,LMP19,10/11/2005,,,,,0.028,,,,,,43.088276,-71.234687
WQAL-48940,LMP19,3/15/2005,,0.004,,,0.167,,,,,,43.088276,-71.234687
WQAL-83711,LMP19,8/14/2007,,,,,0.125,,,,,,43.088276,-71.234687
WQAL-26532,LMP19,2/5/2000,,,,,0.133,,,,,,43.088276,-71.234687
WQAL-47729,LMP19,12/7/2004,,0.003,,,0.073,,,,,,43.088276,-71.234687
WQAL-46794,LMP19,10/5/2004,,,,,0.111,,,,,,43.088276,-71.234687
WQAL-57922,LMP19,3/14/2006,0.009,,,,0.176,,,,,,43.088276,-71.234687
WQAL-42208,LMP19,3/23/2004,,,,,0.196,,,,,,43.088276,-71.234687
WQAL-93202,LMP19,3/9/2010,,,,,0.121,,,,,,43.088276,-71.234687
WQAL-77589,LMP19,6/10/2008,,,,,0.178,,,,,,43.088276,-71.234687
WQAL-26553,LMP19,4/1/2000,,,,,0.044,,,,,,43.088276,-71.234687
WQAL-94871,LMP19,7/13/2010,,,,,0.071,,,,,,43.088276,-71.234687
WQAL-108796,LMP19,5/8/2012,,,,,0.045,,,,,,43.088276,-71.234687
WQAL-44754,LMP19,8/17/2004,,,,,0.16,,,,,,43.088276,-71.234687
WQAL-28308,LMP19,12/7/2000,,0.003,,,0.1,,,,,,43.088276,-71.234687
WQAL-55443,LMP19,12/13/2005,,,,,0.128,,,,,,43.088276,-71.234687
WQAL-60441,LMP19,6/14/2006,,,,,0.044,,,,,,43.088276,-71.234687
WQAL-90647,LMP19,9/8/2009,,,,,0.14,,,,,,43.088276,-71.234687
WQAL-47907,LMP19,12/21/2004,,,,,0.12,,,,,,43.088276,-71.234687
WQAL-83731,LMP19,8/14/2007,,,,,0.121,,,,,,43.088276,-71.234687
WQAL-28275,LMP19,10/4/2000,,0.004,,,0.107,,,,,,43.088276,-71.234687
WQAL-28718,LMP19,2/14/2001,,0.003,,,0.132,,,,,,43.088276,-71.234687
WQAL-61875,LMP19,8/8/2006,,,,,0.103,,,,,,43.088276,-71.234687
WQAL-28291,LMP19,11/3/2000,,,,,0.053,,,,,,43.088276,-71.234687
WQAL-63009,LMP19,9/12/2006,,0.003,,,0.142,,,,,,43.088276,-71.234687
WQAL-96659,LMP19,10/12/2010,,,,,0.046,,,,,,43.088276,-71.234687
WQAL-103174,LMP19,10/12/2011,,,,,0.06,,,,,,43.088276,-71.234687
WQAL-88265,LMP19,6/9/2009,,,,,0.189,,,,,,43.088276,-71.234687
WQAL-93778,LMP19,4/13/2010,,,,,0.095,,,,,,43.088276,-71.234687
WQAL-85513,LMP19,2/10/2009,,,,,0.143,,,,,,43.088276,-71.234687
WQAL-60171,LMP19,5/5/2006,,,,,0.015,,,,,,43.088276,-71.234687
WQAL-26738,LMP19,6/3/2000,,0.003,,,0.07,,,,,,43.088276,-71.234687
WQAL-60724,LMP19,7/11/2006,,,,,0.11,,,,,,43.088276,-71.234687
WQAL-65260,LMP19,12/12/2006,,,,,0.09,,,,,,43.088276,-71.234687
WQAL-43162,LMP19,5/18/2004,,,,,0.059,,,,,,43.088276,-71.234687
WQAL-92950,LMP19,2/9/2010,,,,,0.143,,,,,,43.088276,-71.234687
WQAL-89881,LMP19,8/11/2009,,,,,0.147,,,,,,43.088276,-71.234687
WQAL-91866,LMP19,11/10/2009,,,,,0.078,,,,,,43.088276,-71.234687
WQAL-43331,LMP19,6/8/2004,,,,,0.087,,,,,,43.088276,-71.234687
WQAL-101421,LMP19,8/9/2011,,,,,0.124,,,,,,43.088276,-71.234687
WQAL-45656,LMP19,9/14/2004,,,,,0.099,,,,,,43.088276,-71.234687
WQAL-45077,LMP19,8/24/2004,,,,,0.091,,,,,,43.088276,-71.234687
WQAL-46290,LMP19,9/28/2004,,,,,0.144,,,,,,43.088276,-71.234687
WQAL-110033,LMP19,6/12/2012,,,,,0.043,,,,,,43.088276,-71.234687
WQAL-70643,LMP19,8/6/2007,,,,,0.189,,,,,,43.088276,-71.234687
WQAL-96537,LMP19,9/14/2010,,,,,0.062,,,,,,43.088276,-71.234687
WQAL-94217,LMP19,5/11/2010,,,,,0.064,,,,,,43.088276,-71.234687
WQAL-47987,LMP19,1/4/2005,,,,,0.12,,,,,,43.088276,-71.234687
WQAL-52794,LMP19,8/9/2005,,,,,0.171,,,,,,43.088276,-71.234687
WQAL-41761,LMP19,2/24/2004,,0.014,,,0.243,,,,,,43.088276,-71.234687
WQAL-83746,LMP19,8/14/2007,,,,,0.118,,,,,,43.088276,-71.234687
WQAL-42295,LMP19,3/30/2004,,,,,0.127,,,,,,43.088276,-71.234687
WQAL-98128,LMP19,2/8/2011,,,,,0.137,,,,,,43.088276,-71.234687
WQAL-44591,LMP19,8/3/2004,,,,,0.163,,,,,,43.088276,-71.234687
WQAL-110870,LMP19,7/10/2012,,,,,0.111,,,,,,43.088276,-71.234687
WQAL-76300,LMP19,4/8/2008,,,,,0.074,,,,,,43.088276,-71.234687
WQAL-26564,LMP19,5/6/2000,,,,,0.028,,,,,,43.088276,-71.234687
WQAL-82455,LMP19,10/14/2008,,,,,0.064,,,,,,43.088276,-71.234687
WQAL-91249,LMP19,10/13/2009,,,,,0.046,,,,,,43.088276,-71.234687
WQAL-99979,LMP19,6/14/2011,,,,,0.066,,,,,,43.088276,-71.234687
WQAL-105601,LMP19,2/14/2012,,,,,0.093,,,,,,43.088276,-71.234687
WQAL-46834,LMP27,10/12/2004,,,,,0.132,,,,,,43.041778,-71.202193
WQAL-28323,LMP27,1/7/2001,,0.003,,,0.121,,,,,,43.041778,-71.202193
WQAL-61873,LMP27,8/8/2006,,,,,0.083,,,,,,43.041778,-71.202193
WQAL-89879,LMP27,8/11/2009,,0.003,,,0.106,,,,,,43.041778,-71.202193
WQAL-44047,LMP27,7/13/2004,,,,,0.126,,,,,,43.041778,-71.202193
WQAL-41478,LMP27,2/10/2004,,0.004,,,0.202,,,,,,43.041778,-71.202193
WQAL-43292,LMP27,6/1/2004,,,,,0.057,,,,,,43.041778,-71.202193
WQAL-28716,LMP27,2/14/2001,,,,,0.136,,,,,,43.041778,-71.202193
WQAL-54874,LMP27,11/8/2005,,,,,0.061,,,,,,43.041778,-71.202193
WQAL-44589,LMP27,8/3/2004,,,,,0.089,,,,,,43.041778,-71.202193
WQAL-71122,LMP27,8/14/2007,,,,,0.073,,,,,,43.041778,-71.202193
WQAL-92490,LMP27,1/12/2010,,,,,0.155,,,,,,43.041778,-71.202193
WQAL-47727,LMP27,12/7/2004,,,,,0.083,,,,,,43.041778,-71.202193
WQAL-81404,LMP27,9/9/2008,,,,,0.022,,,,,,43.041778,-71.202193
WQAL-44442,LMP27,7/27/2004,,,,,0.095,,,,,,43.041778,-71.202193
WQAL-94215,LMP27,5/11/2010,,,,,0.069,,,,,,43.041778,-71.202193
WQAL-60439,LMP27,6/14/2006,,,,,0.053,,,,,,43.041778,-71.202193
WQAL-88263,LMP27,6/9/2009,,,,,0.178,,,,,,43.041778,-71.202193
WQAL-87989,LMP27,5/12/2009,,,,,0.083,,,,,,43.041778,-71.202193
WQAL-44342,LMP27,7/20/2004,,,,,0.128,,,,,,43.041778,-71.202193
WQAL-60319,LMP27,5/23/2006,,,,,0.041,,,,,,43.041778,-71.202193
WQAL-43554,LMP27,6/29/2004,,,,,0.193,,,,,,43.041778,-71.202193
WQAL-41816,LMP27,3/2/2004,,0.004,,,0.226,,,,,,43.041778,-71.202193
WQAL-47924,LMP27,12/28/2004,,,,,0.116,,,,,,43.041778,-71.202193
WQAL-28306,LMP27,12/7/2000,,,,,0.107,,,,,,43.041778,-71.202193
WQAL-42323,LMP27,4/6/2004,,0.003,,,0.128,,,,,,43.041778,-71.202193
WQAL-41503,LMP27,2/17/2004,,,,,0.25,,,,,,43.041778,-71.202193
WQAL-53586,LMP27,9/14/2005,,,,,0.092,,,,,,43.041778,-71.202193
WQAL-75988,LMP27,3/11/2008,,,,,0.105,,,,,,43.041778,-71.202193
WQAL-49952,LMP27,4/19/2005,,,,,0.08,,,,,,43.041778,-71.202193
WQAL-45239,LMP27,8/31/2004,,,,,0.131,,,,,,43.041778,-71.202193
WQAL-97045,LMP27,11/9/2010,,,,,0.035,,,,,,43.041778,-71.202193
WQAL-91864,LMP27,11/10/2009,,,,,0.077,,,,,,43.041778,-71.202193
WQAL-85806,LMP27,3/10/2009,,,,,0.121,,,,,,43.041778,-71.202193
WQAL-74785,LMP27,1/8/2008,,,,,0.12,,,,,,43.041778,-71.202193
WQAL-47554,LMP27,11/23/2004,,,,,0.174,,,,,,43.041778,-71.202193
WQAL-99692,LMP27,5/10/2011,,,,,0.03,,,,,,43.041778,-71.202193
WQAL-43329,LMP27,6/8/2004,,,,,0.142,,,,,,43.041778,-71.202193
WQAL-52170,LMP27,7/12/2005,,,,,0.071,,,,,,43.041778,-71.202193
WQAL-41354,LMP27,1/20/2004,,0.003,,,0.297,,,,,,43.041778,-71.202193
WQAL-104880,LMP27,1/10/2012,,,,,0.106,,,,,,43.041778,-71.202193
WQAL-56747,LMP27,1/10/2006,,0.004,,,0.186,,,,,,43.041778,-71.202193
WQAL-77587,LMP27,6/10/2008,,,,,0.173,,,,,,43.041778,-71.202193
WQAL-41415,LMP27,2/3/2004,,0.006,,,0.215,,,,,,43.041778,-71.202193
WQAL-45075,LMP27,8/24/2004,,,,,0.067,,,,,,43.041778,-71.202193
WQAL-97535,LMP27,12/14/2010,,,,,0.069,,,,,,43.041778,-71.202193
WQAL-83929,LMP27,12/16/2008,,,,,0.095,,,,,,43.041778,-71.202193
WQAL-28273,LMP27,10/4/2000,,0.004,,,0.09,,,,,,43.041778,-71.202193
WQAL-76298,LMP27,4/8/2008,,,,,0.072,,,,,,43.041778,-71.202193
WQAL-42937,LMP27,5/4/2004,,,,,0.053,,,,,,43.041778,-71.202193
WQAL-92948,LMP27,2/9/2010,,,,,0.16,,,,,,43.041778,-71.202193
WQAL-84448,LMP27,1/13/2009,,,,,0.137,,,,,,43.041778,-71.202193
WQAL-103172,LMP27,10/12/2011,,,,,0.053,,,,,,43.041778,-71.202193
WQAL-28241,LMP27,8/8/2000,,0.004,,,0.08,,,,,,43.041778,-71.202193
WQAL-45788,LMP27,9/21/2004,,,,,0.04,,,,,,43.041778,-71.202193
WQAL-41760,LMP27,2/24/2004,,0.007,,,0.247,,,,,,43.041778,-71.202193
WQAL-92324,LMP27,12/8/2009,,,,,0.051,,,,,,43.041778,-71.202193
WQAL-47069,LMP27,10/19/2004,,,,,0.03,,,,,,43.041778,-71.202193
WQAL-76969,LMP27,5/13/2008,,,,,0.045,,,,,,43.041778,-71.202193
WQAL-54326,LMP27,10/11/2005,,,,,0.023,,,,,,43.041778,-71.202193
WQAL-43402,LMP27,6/15/2004,,0.008,,,0.107,,,,,,43.041778,-71.202193
WQAL-82453,LMP27,10/14/2008,,,,,0.072,,,,,,43.041778,-71.202193
WQAL-73336,LMP27,10/9/2007,,0.003,,,0.253,,,,,,43.041778,-71.202193
WQAL-43655,LMP27,7/6/2004,,,,,0.162,,,,,,43.041778,-71.202193
WQAL-73834,LMP27,11/12/2007,,,,,0.071,,,,,,43.041778,-71.202193
WQAL-28256,LMP27,9/11/2000,,0.004,,,0.081,,,,,,43.041778,-71.202193
WQAL-66811,LMP27,3/13/2007,,0.003,,,0.236,,,,,,43.041778,-71.202193
WQAL-42521,LMP27,4/13/2004,,,,,0.123,,,,,,43.041778,-71.202193
WQAL-63007,LMP27,9/12/2006,,,,,0.09,,,,,,43.041778,-71.202193
WQAL-70641,LMP27,8/6/2007,,,,,0.103,,,,,,43.041778,-71.202193
WQAL-51688,LMP27,6/15/2005,,,,,0.063,,,,,,43.041778,-71.202193
WQAL-70398,LMP27,7/31/2007,,,,,0.107,,,,,,43.041778,-71.202193
WQAL-69506,LMP27,7/10/2007,,,,,0.101,,,,,,43.041778,-71.202193
WQAL-42099,LMP27,3/16/2004,,0.003,,,0.172,,,,,,43.041778,-71.202193
WQAL-74227,LMP27,12/11/2007,,,,,0.07,,,,,,43.041778,-71.202193
WQAL-48377,LMP27,2/1/2005,,0.006,,,0.171,,,,,,43.041778,-71.202193
WQAL-64350,LMP27,11/14/2006,,,,,0.011,,,,,,43.041778,-71.202193
WQAL-28222,LMP27,7/7/2000,,,,,0.138,,,,,,43.041778,-71.202193
WQAL-71090,LMP27,8/14/2007,,,,,0.073,,,,,,43.041778,-71.202193
WQAL-96657,LMP27,10/12/2010,,,,,0.078,,,,,,43.041778,-71.202193
WQAL-45641,LMP27,5/25/2004,,,,,0.033,,,,,,43.041778,-71.202193
WQAL-49474,LMP27,3/29/2005,,0.008,,,0.084,,,,,,43.041778,-71.202193
WQAL-43003,LMP27,5/11/2004,,,,,0.052,,,,,,43.041778,-71.202193
WQAL-112330,LMP27,8/14/2012,,,,,0.05,,,,,,43.041778,-71.202193
WQAL-42555,LMP27,4/19/2004,,0.005,,,0.052,,,,,,43.041778,-71.202193
WQAL-47985,LMP27,1/4/2005,,0.003,,,0.13,,,,,,43.041778,-71.202193
WQAL-46288,LMP27,9/28/2004,,,,,0.141,,,,,,43.041778,-71.202193
WQAL-26530,LMP27,2/5/2000,,0.005,,,0.144,,,,,,43.041778,-71.202193
WQAL-95364,LMP27,8/10/2010,,,,,0.015,,,,,,43.041778,-71.202193
WQAL-42206,LMP27,3/23/2004,,0.003,,,0.2,,,,,,43.041778,-71.202193
WQAL-96535,LMP27,9/14/2010,,,,,0.056,,,,,,43.041778,-71.202193
WQAL-68693,LMP27,6/12/2007,,,,,0.073,,,,,,43.041778,-71.202193
WQAL-57358,LMP27,2/14/2006,,0.004,,,0.173,,,,,,43.041778,-71.202193
WQAL-42310,LMP27,4/3/2004,,0.007,,,0.092,,,,,,43.041778,-71.202193
WQAL-78271,LMP27,7/8/2008,,,,,0.107,,,,,,43.041778,-71.202193
WQAL-26736,LMP27,6/3/2000,,,,,0.075,,,,,,43.041778,-71.202193
WQAL-82921,LMP27,11/12/2008,,,,,0.062,,,,,,43.041778,-71.202193
WQAL-105599,LMP27,2/14/2012,,,,,0.1,,,,,,43.041778,-71.202193
WQAL-110031,LMP27,6/12/2012,,,,,0.029,,,,,,43.041778,-71.202193
WQAL-57920,LMP27,3/14/2006,0.015,,,,0.147,,,,,,43.041778,-71.202193
WQAL-45566,LMP27,9/7/2004,,,,,0.103,,,,,,43.041778,-71.202193
WQAL-48938,LMP27,3/15/2005,,0.003,,,0.166,,,,,,43.041778,-71.202193
WQAL-112733,LMP27,9/11/2012,,,,,0.072,,,,,,43.041778,-71.202193
WQAL-48072,LMP27,1/11/2005,,,,,0.149,,,,,,43.041778,-71.202193
WQAL-99977,LMP27,6/14/2011,,,,,0.072,,,,,,43.041778,-71.202193
WQAL-60722,LMP27,7/11/2006,,,,,0.11,,,,,,43.041778,-71.202193
WQAL-98494,LMP27,3/8/2011,,,,,0.121,,,,,,43.041778,-71.202193
WQAL-50616,LMP27,5/10/2005,,,,,0.038,,,,,,43.041778,-71.202193
WQAL-60169,LMP27,5/5/2006,,,,,0.019,,,,,,43.041778,-71.202193
WQAL-71107,LMP27,8/14/2007,,,,,0.083,,,,,,43.041778,-71.202193
WQAL-47878,LMP27,12/14/2004,,,,,0.062,,,,,,43.041778,-71.202193
WQAL-41390,LMP27,1/27/2004,,0.005,,,0.216,,,,,,43.041778,-71.202193
WQAL-41282,LMP27,1/13/2004,,,,,0.157,,,,,,43.041778,-71.202193
WQAL-83744,LMP27,8/14/2007,,,,,0.058,,,,,,43.041778,-71.202193
WQAL-47568,LMP27,11/30/2004,,,,,0.046,,,,,,43.041778,-71.202193
WQAL-26540,LMP27,3/4/2000,,0.003,,,0.096,,,,,,43.041778,-71.202193
WQAL-90645,LMP27,9/8/2009,,,,,0.087,,,,,,43.041778,-71.202193
WQAL-98935,LMP27,4/12/2011,,,,,0.03,,,,,,43.041778,-71.202193
WQAL-26551,LMP27,4/1/2000,,,,,0.046,,,,,,43.041778,-71.202193
WQAL-44752,LMP27,8/17/2004,,0.004,,,0.064,,,,,,43.041778,-71.202193
WQAL-93776,LMP27,4/13/2010,,,,,0.048,,,,,,43.041778,-71.202193
WQAL-65543,LMP27,1/9/2007,,,,,0.056,,,,,,43.041778,-71.202193
WQAL-28289,LMP27,11/3/2000,,,,,0.056,,,,,,43.041778,-71.202193
WQAL-59166,LMP27,4/11/2006,,,,,0.072,,,,,,43.041778,-71.202193
